anchor_id,source,source_version,anchor_kind,human_labeled_minutes,without_ai_minutes,human_labeled,weight,feature_vector,labels,valid_from,valid_to
ainative2026_0,internal_ainative_2026,2026,ainative_need,,6227.52,t,1,"{""log_work_min"": 9.218408, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 21.0, ""trad_days"": 26.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 12480.0}",,
ainative2026_1,internal_ainative_2026,2026,ainative_need,,4550.88,t,1,"{""log_work_min"": 8.848078, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 14.5, ""trad_days"": 19.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 9120.0}",,
ainative2026_10,internal_ainative_2026,2026,ainative_need,,3832.32,t,1,"{""log_work_min"": 8.253488, ""ai_code_ratio"": 0.95}","{""calib"": 0.499, ""act_days"": 8.0, ""trad_days"": 16.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 7680.0}",,
ainative2026_100,internal_ainative_2026,2026,ainative_need,,958.08,t,1,"{""log_work_min"": 6.867974, ""ai_code_ratio"": 0.8}","{""calib"": 0.499, ""act_days"": 2.0, ""trad_days"": 4.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 1920.0}",,
ainative2026_101,internal_ainative_2026,2026,ainative_need,,4550.88,t,1,"{""log_work_min"": 8.881975, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 15.0, ""trad_days"": 19.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 9120.0}",,
ainative2026_102,internal_ainative_2026,2026,ainative_need,,10538.88,t,1,"{""log_work_min"": 9.431963, ""ai_code_ratio"": 0.7}","{""calib"": 0.499, ""act_days"": 26.0, ""trad_days"": 44.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 21120.0}",,
ainative2026_103,internal_ainative_2026,2026,ainative_need,,12215.52,t,1,"{""log_work_min"": 9.287394, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 22.5, ""trad_days"": 51.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 24480.0}",,
ainative2026_104,internal_ainative_2026,2026,ainative_need,,4910.16,t,1,"{""log_work_min"": 8.616314, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 11.5, ""trad_days"": 20.5, ""adopt_imputed"": false, ""raw_without_ai_min"": 9840.0}",,
ainative2026_105,internal_ainative_2026,2026,ainative_need,,4311.36,t,1,"{""log_work_min"": 8.571871, ""ai_code_ratio"": 1.0}","{""calib"": 0.499, ""act_days"": 11.0, ""trad_days"": 18.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 8640.0}",,
ainative2026_106,internal_ainative_2026,2026,ainative_need,,958.08,t,1,"{""log_work_min"": 6.867974, ""ai_code_ratio"": 0.95}","{""calib"": 0.499, ""act_days"": 2.0, ""trad_days"": 4.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 1920.0}",,
ainative2026_107,internal_ainative_2026,2026,ainative_need,,1916.16,t,1,"{""log_work_min"": 7.878913, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 5.5, ""trad_days"": 8.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 3840.0}",,
ainative2026_108,internal_ainative_2026,2026,ainative_need,,4790.4,t,1,"{""log_work_min"": 8.371242, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 9.0, ""trad_days"": 20.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 9600.0}",,
ainative2026_109,internal_ainative_2026,2026,ainative_need,,5988,t,1,"{""log_work_min"": 8.914761, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 15.5, ""trad_days"": 25.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 12000.0}",,
