display_name,primary_user_id,need_count,actual_calendar_min,baseline_calendar_min,calendar_efficiency_ratio,calendar_efficiency_pct,actual_work_min,baseline_work_min,work_efficiency_ratio,work_efficiency_pct
b02e580c-0bb7-48dc-be2d-c2019c3cfe90,d5afd05c-8fbc-4b80-a0ae-2927d8b3af71,1,14490.75,25990.79,0.7936,79.36,10612.00,9096.78,-0.1428,-14.28
26d5e937-fe57-4c34-aff4-96dc7761e2c5,0ef0b7b1-8f3e-4290-a222-516de0e83435,1,6058.58,10345.97,0.7077,70.77,3922.00,3621.09,-0.0767,-7.67
6be60285-2b5a-4b6f-b3d9-7a716e98416b,5a401736-7c1d-4408-a8c1-0f980faf20dd,2,39107.35,64417.56,0.6472,64.72,27622.00,22546.15,-0.1838,-18.38
19966a9b-be94-4512-81ef-7d5e8bc19dd8,bf3ad850-a390-4192-bccc-c5d1140326ee,1,1587.93,2352.95,0.4818,48.18,478.00,823.53,0.7229,72.29
XDfield,6194b8b2-666c-48c4-8579-4000c6687a68,5,60224.27,78546.57,0.3042,30.42,32080.45,27491.30,-0.1431,-14.31
1543e8c6-7e5a-4091-a3e2-d1d81c103912,9064b7dd-3bfd-40a0-ae7b-0485684b73f4,1,22555.97,28495.80,0.2633,26.33,12624.00,9973.53,-0.2100,-21.00
fad7e595-8abf-4bf3-a6f0-2d8be144229c,0b36aad4-2e01-4c00-bf65-6f5f8581e8ad,1,2898.27,3455.16,0.1921,19.21,1252.00,1209.30,-0.0341,-3.41
6c2012f9-4e6b-4666-84eb-159d5f3b1b75,4646ea5c-e288-4f36-96cb-ea8f6e3394fa,1,2851.08,3367.55,0.1811,18.11,1014.00,1178.64,0.1624,16.24
7430e7e8-d81d-4eed-a336-fc42e3e9e8fa,a0a6e401-e358-4e75-9600-15caf1806f2e,1,2837.88,3039.82,0.0712,7.12,948.00,1063.94,0.1223,12.23
XuChuanjiang999,c6e1cd0c-b6d0-47f7-8e1a-077650c46a48,1,3083.32,2982.19,-0.0328,-3.28,904.00,1043.77,0.1546,15.46
dc11292a-8086-4bf0-82db-13bfdeeebbd1,4ef1aadf-1a40-44cd-a6d7-3c53cf0d35ea,1,19881.52,19004.91,-0.0441,-4.41,8578.00,6651.72,-0.2246,-22.46
ZongruiL,38e1f36e-6f02-4b1c-a272-4d2033a76345,1,2974.17,2818.65,-0.0523,-5.23,630.00,986.53,0.5659,56.59
NilabjaGhoshINT,ca0e2042-2beb-4b3e-9604-e7d1591f9689,2,20042.02,18798.04,-0.0621,-6.21,7196.00,6579.32,-0.0857,-8.57
xiaojingming,c3d22c30-12b6-43b6-9c2c-66678b9e43fb,1,1739.40,1576.65,-0.0936,-9.36,272.00,551.83,1.0288,102.88
unknownzjc,669ecebc-2ba1-4b1c-ab0c-6bff22350b5e,1,2781.08,2438.67,-0.1231,-12.31,429.60,853.53,0.9868,98.68
c34de2a9-35ef-4bdd-b270-ea5dc60199d4,11825db0-f971-4d87-b32a-ce301b016b55,1,1423.23,1230.27,-0.1356,-13.56,132.00,430.59,2.2621,226.21
mini2s,76ad0af5-8861-4f58-a87c-17c6d505e47c,6,73741.95,63199.61,-0.1430,-14.30,21797.58,22119.86,0.0148,1.48
linkai0924,009345c2-95e5-47ff-9fb2-e416547e15a6,4,18138.78,14542.10,-0.1983,-19.83,4144.00,5089.73,0.2282,22.82
uwuclxdy,dcff5ea1-c9d4-4a47-b25d-3b120baffc9a,2,21039.52,16800.65,-0.2015,-20.15,6376.00,5880.23,-0.0778,-7.78
40c69693-69aa-42c5-ae68-15915841531a,23e62bf5-307f-4d61-8702-28dd2ef8a060,1,18716.42,14424.45,-0.2293,-22.93,5870.00,5048.56,-0.1399,-13.99
Jarlene,124e375b-fd11-41ac-a425-bb4fc5552db1,1,16637.40,10704.50,-0.3566,-35.66,3547.82,3746.57,0.0560,5.60
1f001bfa-52e5-4942-9b8f-d259633af326,267fef81-c00e-4c17-966a-46342583ebf7,1,1573.18,993.75,-0.3683,-36.83,134.00,347.81,1.5956,159.56
5fef2f85-51e7-4540-99a7-67f67a10c050,ff8a55b1-e59c-4386-a8d8-16451e340f72,1,4494.72,2677.52,-0.4043,-40.43,402.00,937.13,1.3312,133.12
423237f6-5f70-4af0-b9f6-339f0ed87b08,80491c17-dd9f-4b94-bd2f-f11a389450f1,1,16973.15,8720.12,-0.4862,-48.62,3424.00,3052.04,-0.1086,-10.86
(24 rows)
